,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
269,2018 Maruti Swift Dzire ZXI 1.2,₹ 6.41 Lakh,Nov-18,1197 cc,Comprehensive,Manual,"97,254 Kms",Second Owner,Petrol,81.80bhp,5,21.21 kmpl,Sedan,Lucknow
270,2019 Maruti Wagon R VXI,₹ 5.08 Lakh,Aug-19,998 cc,Third Party insurance,Manual,"19,910 Kms",First Owner,Petrol,67.05bhp,5,21.79 kmpl,Hatchback,Lucknow
271,2021 Honda Amaze S Diesel,₹ 7.75 Lakh,Jun-21,1498 cc,Third Party,Manual,"40,680 Kms",First Owner,Diesel,97.89bhp,5,24.7 kmpl,Sedan,Lucknow
272,2020 Mercedes-Benz GLC 220d 4MATIC,₹ 55.75 Lakh,Jul-20,1950 cc,Third Party insurance,Automatic,"21,542 Kms",First Owner,Diesel,194bhp,5,,SUV,Delhi
273,2018 Hyundai EON Era Plus,₹ 2.92 Lakh,Jun-18,814 cc,Third Party,Manual,"66,198 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Lucknow
274,2018 Maruti Celerio X AMT VXI Option BSIV,₹ 4.80 Lakh,Jun-18,998 cc,Third Party,Automatic,"97,829 Kms",First Owner,Petrol,67bhp,5,21.63 kmpl,Hatchback,Lucknow
275,2015 Honda Amaze VX i-DTEC,₹ 4.85 Lakh,2015,1498 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,98.6bhp,5,25.8 kmpl,Sedan,Lucknow
276,2006 Honda City VTEC,₹ 1.10 Lakh,2006,1497 cc,Third Party insurance,Manual,"1,00,000 Kms",Second Owner,Petrol,100,5,16.9 kmpl,Sedan,Lucknow
277,2020 Hyundai i20 Sportz Plus,₹ 6.50 Lakh,2020,1197 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,81.86bhp,5,18.6 kmpl,Hatchback,Lucknow
278,2017 Honda City i DTec V,₹ 6.75 Lakh,2017,1498 cc,Third Party insurance,Manual,"90,000 Kms",Second Owner,Diesel,98.6bhp,5,26 kmpl,Sedan,Lucknow
279,2022 Mahindra XUV700 AX5 7 Str Diesel BSVI,₹ 18 Lakh,2022,2198 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Diesel,182.38bhp,7,,SUV,Lucknow
280,2010 Honda Civic 1.8 S MT,₹ 2.55 Lakh,2010,1799 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Petrol,130.2bhp,5,14.8 kmpl,Sedan,Lucknow
281,2018 Honda Amaze V Petrol BSIV,₹ 6.53 Lakh,Jun-18,1199 cc,Zero Dep,Manual,"39,240 Kms",First Owner,Petrol,88.76bhp,5,19.5 kmpl,Sedan,Lucknow
282,2021 Maruti Vitara Brezza LXI,₹ 7.85 Lakh,May-21,1462 cc,Zero Dep,Manual,"4,055 Kms",First Owner,Petrol,103.26bhp,5,17.03 kmpl,SUV,Lucknow
283,2018 Maruti Alto 800 LXI,₹ 2.91 Lakh,Aug-18,796 cc,Comprehensive,Manual,"62,433 Kms",First Owner,Petrol,47.3bhp,5,24.7 kmpl,Hatchback,Lucknow
284,2016 Maruti Swift VDI BSIV,₹ 4.28 Lakh,Jan-17,1248 cc,Third Party,Manual,"46,929 Kms",First Owner,Diesel,74bhp,5,25.2 kmpl,Hatchback,Lucknow
285,2017 Hyundai Creta 1.6 VTVT SX Plus,₹ 9.94 Lakh,Oct-17,1591 cc,Third Party insurance,Manual,"47,000 Kms",First Owner,Petrol,121.3bhp,5,13 kmpl,SUV,Lucknow
286,2014 Hyundai EON Era Plus,₹ 2.24 Lakh,Aug-14,814 cc,Third Party,Manual,"52,703 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Lucknow
287,2020 Mercedes-Benz GLS 450 4MATIC BSVI,₹ 1.20 Crore,Jul-20,2999 cc,Third Party insurance,Automatic,"55,123 Kms",First Owner,Petrol,362.07bhp5500-6100bhp,7,,SUV,Delhi
288,2013 Maruti Swift VDI,₹ 3.12 Lakh,Jul-13,1248 cc,Third Party,Manual,"1,17,206 Kms",First Owner,Diesel,74bhp,5,22.9 kmpl,Hatchback,Lucknow
289,2017 Skoda Rapid 1.5 TDI AT Style BSIV,₹ 8.14 Lakh,Jul-17,1498 cc,Third Party insurance,Automatic,"30,296 Kms",First Owner,Diesel,108.6bhp,5,21.72 kmpl,Sedan,Lucknow
290,2017 Hyundai EON Era Plus Option,₹ 2.97 Lakh,Jan-18,814 cc,Third Party insurance,Manual,"15,614 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Lucknow
291,2017 Maruti Alto 800 CNG LXI,₹ 2.70 Lakh,2017,796 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,CNG,40.3bhp,5,33.44 kmpl,Hatchback,Lucknow
292,2020 Hyundai Creta 1.6 EX Diesel,₹ 11.30 Lakh,2020,1582 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Diesel,126.2bhp,5,20.5 kmpl,SUV,Lucknow
293,2013 Tata Nano LX,"₹ 70,000",2013,624 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,37.48bhp,4,25.4 kmpl,Hatchback,Lucknow
294,2012 Skoda Rapid 1.6 TDI Active,₹ 2.50 Lakh,2012,1598 cc,Third Party insurance,Manual,"1,10,000 Kms",Second Owner,Diesel,103.5bhp,5,20.5 kmpl,Sedan,Lucknow
295,2006 Chevrolet Tavera B2-7 seats BSII,₹ 1.25 Lakh,2006,2499 cc,Third Party insurance,Manual,"1,20,000 Kms",Second Owner,Diesel,80,7,14.8 kmpl,Chevrolet,Lucknow
296,2018 Maruti Alto K10 LXI,₹ 2.80 Lakh,2018,998 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,67.05bhp,5,23.95 kmpl,Hatchback,Lucknow
297,2013 Maruti Swift VDI,₹ 3.15 Lakh,Dec-13,1248 cc,Third Party,Manual,"74,208 Kms",First Owner,Diesel,74bhp,5,22.9 kmpl,Hatchback,Lucknow
298,2018 Mahindra XUV500 W11 Option AT AWD,₹ 12.73 Lakh,Jun-18,2179 cc,Third Party,Automatic,"85,663 Kms",First Owner,Diesel,155bhp,7,15.1 kmpl,SUV,Lucknow
299,2017 Maruti Ignis 1.2 AMT Zeta BSIV,₹ 5.08 Lakh,Jul-17,1197 cc,Comprehensive,Automatic,"29,406 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Lucknow
300,2016 Maruti Celerio ZXI AMT,₹ 3.82 Lakh,Sep-16,998 cc,Third Party,Automatic,"72,029 Kms",Second Owner,Petrol,65.71bhp,5,26 kmpl,Hatchback,Lucknow
301,2017 Maruti Vitara Brezza ZDi,₹ 7.08 Lakh,Mar-17,1248 cc,Zero Dep,Manual,"89,341 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Lucknow
302,2020 Hyundai Aura SX Plus AMT,₹ 7.82 Lakh,Feb-20,1197 cc,Zero Dep,Automatic,"25,799 Kms",First Owner,Petrol,81.86bhp,5,20.1 kmpl,Sedan,Lucknow
303,2018 Hyundai i20 Active 1.2 SX,₹ 5.95 Lakh,Oct-18,1197 cc,Third Party,Manual,"47,641 Kms",Third Owner,Petrol,81.86bhp,5,17.19 kmpl,Hatchback,Lucknow
304,2019 Maruti Swift VXI,₹ 5.20 Lakh,Feb-20,1197 cc,Third Party insurance,Manual,"40,584 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Lucknow
305,2017 Maruti Alto K10 VXI,₹ 3.07 Lakh,Feb-18,998 cc,Third Party insurance,Manual,"39,259 Kms",First Owner,Petrol,65.71bhp,5,24.39 kmpl,Hatchback,Lucknow
306,2012 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,₹ 4.23 Lakh,2012,2494 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,Diesel,100bhp,8,12.99 kmpl,MUV,Lucknow
307,2012 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,₹ 4.55 Lakh,2012,2494 cc,Third Party insurance,Manual,"1,20,000 Kms",Fourth Owner,Diesel,100bhp,8,12.99 kmpl,MUV,Lucknow
308,2018 Hyundai Creta 1.6 SX Diesel,₹ 10.50 Lakh,2018,1582 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Diesel,126.2bhp,5,20.5 kmpl,SUV,Lucknow
309,2022 Mercedes-Benz AMG A 35 4MATIC BSVI,₹ 53.75 Lakh,Jul-22,1991 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,301.73bhp,5,,Sedan,Delhi
310,2022 MG Astor Sharp EX BSVI,₹ 14 Lakh,2022,1498 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,108.49bhp,5,15.43 kmpl,SUV,Lucknow
311,2017 Hyundai Verna 1.4 CRDi,₹ 5.90 Lakh,2017,1396 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,88.7bhp,5,24.8 kmpl,Sedan,Lucknow
312,2013 Maruti Swift Dzire ZDI,₹ 3.80 Lakh,2013,1248 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,74bhp,5,23.4 kmpl,Sedan,Lucknow
313,2014 Maruti Swift Dzire VDI,₹ 3.89 Lakh,Mar-14,1248 cc,Comprehensive,Manual,"97,697 Kms",First Owner,Diesel,74bhp,5,23.4 kmpl,Sedan,Lucknow
314,2014 Maruti Swift Dzire LXI,₹ 3.55 Lakh,May-14,1197 cc,Comprehensive,Manual,"60,708 Kms",First Owner,Petrol,88.50bhp,5,22.41 kmpl,Sedan,Lucknow
315,2019 Maruti Ignis 1.2 Alpha BSIV,₹ 5.04 Lakh,Sep-19,1197 cc,Third Party insurance,Manual,"72,225 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Lucknow
316,2016 Renault Duster 110PS Diesel RxZ,₹ 5.32 Lakh,Jan-18,1461 cc,Third Party insurance,Manual,"94,226 Kms",Second Owner,Diesel,108.45bhp,5,19.6 kmpl,SUV,Lucknow
317,2021 Maruti Baleno Zeta,₹ 7.05 Lakh,Aug-21,1197 cc,Third Party,Manual,"22,808 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Lucknow
318,2020 Maruti S-Presso VXI 2019-2022,₹ 3.41 Lakh,Aug-20,998 cc,Third Party insurance,Manual,"76,980 Kms",First Owner,Petrol,65.71bhp,5,21.7 kmpl,Hatchback,Lucknow
319,2012 Fiat Punto 1.2 Active,₹ 1.40 Lakh,2012,1172 cc,Third Party insurance,Manual,"50,000 Kms",First Owner,Petrol,67bhp,5,15.7 kmpl,Hatchback,Lucknow
320,2014 Mahindra XUV500 W4,₹ 4.90 Lakh,2014,2179 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Diesel,140bhp,7,15.1 kmpl,SUV,Lucknow
321,2016 Mahindra TUV 300 T4,₹ 5.25 Lakh,2016,1493 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Diesel,100bhp,7,18.49 kmpl,SUV,Lucknow
322,2022 Hyundai Creta E BSVI,₹ 11 Lakh,2022,1497 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,113.18bhp,5,,SUV,Lucknow
323,2017 BMW X1 sDrive20d Expedition,₹ 19 Lakh,2017,1995 cc,Third Party insurance,Automatic,"1,00,000 Kms",First Owner,Diesel,188bhp,5,20.68 kmpl,SUV,Lucknow
324,2019 Maruti Swift ZXI Plus,₹ 5.73 Lakh,Mar-19,1197 cc,Third Party insurance,Manual,"65,698 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Lucknow
325,2014 Nissan Terrano XL,₹ 3.57 Lakh,Mar-14,1598 cc,Third Party insurance,Manual,"82,101 Kms",Second Owner,Petrol,102.5bhp,5,13.24 kmpl,SUV,Lucknow
326,2015 Toyota Etios Liva GD,₹ 4.56 Lakh,Jan-16,1364 cc,Third Party insurance,Manual,"59,819 Kms",Second Owner,Diesel,67.04bhp,5,23.59 kmpl,Hatchback,Lucknow
327,2016 Maruti Alto K10 VXI,₹ 2.37 Lakh,Feb-16,998 cc,Zero Dep,Manual,"1,15,250 Kms",First Owner,Petrol,65.71bhp,5,24.39 kmpl,Hatchback,Lucknow
328,2015 Hyundai Creta 1.6 VTVT SX Plus,₹ 7.66 Lakh,Oct-15,1591 cc,Comprehensive,Manual,"29,033 Kms",First Owner,Petrol,121.3bhp,5,13 kmpl,SUV,Lucknow
329,2015 Hyundai i20 Active 1.2 S,₹ 4.79 Lakh,May-15,1197 cc,Third Party insurance,Manual,"57,294 Kms",Second Owner,Petrol,81.86bhp,5,17.19 kmpl,Hatchback,Lucknow
330,2018 Maruti Alto 800 VXI,₹ 2.70 Lakh,May-18,796 cc,Third Party insurance,Manual,"32,464 Kms",First Owner,Petrol,47.33bhp,5,22.05 kmpl,Hatchback,Lucknow
331,2018 Tata Nexon 1.2 Revotron XMA,₹ 6.91 Lakh,Nov-18,1198 cc,Third Party insurance,Automatic,"12,762 Kms",First Owner,Petrol,108.5bhp,5,17 kmpl,SUV,Lucknow
332,2017 Mahindra KUV 100 NXT D75 K6 Plus,₹ 4.73 Lakh,Jun-17,1198 cc,Third Party,Manual,"51,719 Kms",First Owner,Diesel,77bhp,6,25.32 kmpl,Hatchback,Lucknow
333,2011 Maruti Zen Estilo VXI BSIV,₹ 1.15 Lakh,2011,998 cc,Third Party insurance,Manual,"1,10,000 Kms",First Owner,Petrol,67.1bhp,5,19 kmpl,Hatchback,Lucknow
334,2017 Tata Safari Storme EX,₹ 7 Lakh,2017,2179 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Diesel,147.94bhp,7,14.1 kmpl,SUV,Lucknow
335,2018 Maruti Swift AMT ZDI,₹ 7 Lakh,2018,1248 cc,Third Party insurance,Automatic,"60,000 Kms",First Owner,Diesel,74bhp,5,28.4 kmpl,Hatchback,Lucknow
336,2022 Skoda Slavia 1.0 TSI Style BSVI,₹ 14.73 Lakh,2022,999 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,113.98bhp,5,19.47 kmpl,Sedan,Lucknow
337,2014 Maruti Swift VDI BSIV,₹ 4 Lakh,2014,1248 cc,Third Party insurance,Manual,"80,000 Kms",Third Owner,Diesel,74bhp,5,25.2 kmpl,Hatchback,Lucknow
338,2016 Tata Safari Storme VX Varicor 400,₹ 7.51 Lakh,2016,2179 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,153.86bhp,7,14.1 kmpl,SUV,Lucknow
339,2018 Hyundai i20 1.4 Asta Option,₹ 5.70 Lakh,Apr-18,1396 cc,Zero Dep,Manual,"66,141 Kms",Second Owner,Diesel,88.73bhp,5,22.54 kmpl,Hatchback,Lucknow
340,2018 Tata Tiago 1.2 Revotron XZA,₹ 4.39 Lakh,Dec-18,1199 cc,Third Party insurance,Automatic,"8,769 Kms",Second Owner,Petrol,83.83bhp,5,23.84 kmpl,Hatchback,Lucknow
341,2018 Maruti Vitara Brezza VDi Option,₹ 7.39 Lakh,Apr-18,1248 cc,Comprehensive,Manual,"30,806 Kms",First Owner,Diesel,88.5bhp,5,24.3 kmpl,SUV,Lucknow
342,2019 Maruti Alto 800 LXI,₹ 3.32 Lakh,Apr-19,796 cc,Third Party,Manual,"33,245 Kms",First Owner,Petrol,47.33bhp,5,22.05 kmpl,Hatchback,Lucknow
343,2018 Hyundai Xcent 1.2 VTVT SX Option,₹ 5.93 Lakh,Jun-18,1197 cc,Third Party,Manual,"42,665 Kms",First Owner,Petrol,81.86bhp,5,20.14 kmpl,Sedan,Lucknow
344,2018 Honda Amaze S i-DTEC,₹ 5.35 Lakh,Aug-18,1498 cc,Zero Dep,Manual,"1,14,431 Kms",First Owner,Diesel,98.6bhp,5,25.8 kmpl,Sedan,Lucknow
345,2019 Maruti Baleno 1.2 Delta,₹ 5.46 Lakh,Mar-19,1197 cc,Third Party insurance,Manual,"38,658 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
346,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹ 5.04 Lakh,May-19,1197 cc,Third Party insurance,Manual,"23,724 Kms",First Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Lucknow
347,2021 Renault KWID RXL,₹ 3 Lakh,2021,799 cc,Third Party insurance,Manual,"60,000 Kms",Third Owner,Petrol,53.26bhp,5,22.25 kmpl,Hatchback,Lucknow
348,2022 Maruti Wagon R VXI CNG BSVI,₹ 6.50 Lakh,2022,998 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,CNG,55.92bhp,5,34.05 kmpl,Hatchback,Lucknow
349,2012 Hyundai Verna 1.6 SX VTVT,₹ 3 Lakh,2012,1591 cc,Third Party insurance,Manual,"1,10,000 Kms",Second Owner,Petrol,121.3bhp,5,17.01 kmpl,Sedan,Lucknow
350,2017 Tata Nexon 1.2 Revotron XM,₹ 5.45 Lakh,2017,1198 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,108.5bhp,5,17 kmpl,SUV,Lucknow
351,2022 Hyundai Verna SX Diesel,₹ 12 Lakh,2022,1493 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Diesel,113.45bhp,5,25 kmpl,Sedan,Lucknow
352,2016 Tata Safari Storme VX Varicor 400,₹ 7.51 Lakh,2016,2179 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Diesel,153.86bhp,7,14.1 kmpl,SUV,Lucknow
353,2017 Renault KWID 1.0 RXT Optional AT 2016-2019,₹ 3.15 Lakh,Jul-17,999 cc,Comprehensive,Automatic,"34,061 Kms",First Owner,Petrol,67bhp,5,23.01 kmpl,Hatchback,Lucknow
354,2018 Hyundai Grand i10 1.2 Kappa Asta,₹ 4.70 Lakh,Apr-18,1197 cc,Third Party,Manual,"51,140 Kms",Second Owner,Petrol,81.86bhp,5,18.9 kmpl,Hatchback,Lucknow
355,2014 Hyundai i10 Magna 1.1L,₹ 2.49 Lakh,Dec-14,1086 cc,Third Party,Manual,"55,076 Kms",First Owner,Petrol,68.05bhp,5,19.81 kmpl,Hatchback,Lucknow
356,2015 Hyundai Grand i10 CRDi Sportz,₹ 3.15 Lakh,Oct-15,1120 cc,Third Party insurance,Manual,"1,13,593 Kms",Second Owner,Diesel,70bhp,5,24 kmpl,Hatchback,Lucknow
357,2016 Maruti Baleno 1.2 Delta,₹ 4.69 Lakh,Jul-16,1197 cc,Zero Dep,Manual,"54,091 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
358,2012 Honda City 1.5 V AT Sunroof,₹ 4.94 Lakh,Dec-12,1497 cc,Third Party insurance,Automatic,"56,446 Kms",Second Owner,Petrol,116.3bhp,5,16.8 kmpl,Sedan,Lucknow
359,2018 Hyundai Santro Sportz CNG BSIV,₹ 4.76 Lakh,Dec-18,1086 cc,Comprehensive,Manual,"41,609 Kms",First Owner,CNG,58bhp,5,30.48 km/kg,Hatchback,Lucknow
360,2021 Maruti Baleno Delta,₹ 6.30 Lakh,Nov-21,1197 cc,Third Party insurance,Manual,"5,806 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Lucknow
361,2019 Honda Amaze S Petrol BSIV,₹ 5.45 Lakh,Apr-19,1199 cc,Comprehensive,Manual,"53,873 Kms",First Owner,Petrol,88.76bhp,5,19.5 kmpl,Sedan,Lucknow
362,2013 Ford Ecosport 1.5 DV5 MT Titanium,₹ 3 Lakh,2013,1498 cc,Third Party insurance,Manual,"90,000 Kms",First Owner,Diesel,89.84bhp,5,22.7 kmpl,SUV,Lucknow
363,2020 Toyota Fortuner 2.8 2WD AT,₹ 31.50 Lakh,2020,2755 cc,Third Party insurance,Automatic,"60,000 Kms",First Owner,Diesel,174.5bhp,7,12.9 kmpl,SUV,Lucknow
364,2012 Hyundai Verna 1.6 SX VTVT,₹ 4.15 Lakh,2012,1591 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,121.3bhp,5,17.01 kmpl,Sedan,Lucknow
365,2021 Honda City V MT,₹ 8.90 Lakh,2021,1498 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Petrol,119.35bhp,5,18.6 kmpl,Sedan,Lucknow
366,2013 Maruti Ritz ZDi,₹ 2.40 Lakh,2013,1248 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Diesel,73.94bhp,5,23.2 kmpl,Hatchback,Lucknow
367,2015 Nissan Terrano XV 110 PS,₹ 4.60 Lakh,2015,1461 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Diesel,108.5bhp,5,19.01 kmpl,SUV,Lucknow
368,2018 Maruti Baleno 1.2 Alpha,₹ 5 Lakh,2018,1197 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
369,2019 Maruti Wagon R LXI CNG Optional,₹ 4.50 Lakh,2019,998 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,CNG,58.16bhp,5,26.6 kmpl,Hatchback,Lucknow
370,2019 Maruti Baleno 1.2 Alpha,₹ 6.33 Lakh,Aug-19,1197 cc,Third Party insurance,Manual,"15,415 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
371,2018 Maruti Swift Dzire AMT VDI,₹ 6.04 Lakh,Mar-18,1248 cc,Comprehensive,Automatic,"55,145 Kms",First Owner,Diesel,74.02bhp,5,28.4 kmpl,Sedan,Lucknow
372,2016 Maruti Celerio VXI AMT,₹ 3.15 Lakh,Jan-17,998 cc,Third Party insurance,Automatic,"1,09,688 Kms",First Owner,Petrol,65.71bhp,5,26.68 kmpl,Hatchback,Lucknow
373,2019 Hyundai Grand i10 Nios Sportz,₹ 6.60 Lakh,Nov-19,1197 cc,Third Party insurance,Manual,"18,914 Kms",First Owner,Petrol,81.86bhp,5,20.7 kmpl,Hatchback,Lucknow
374,2017 Hyundai EON Era Plus Option,₹ 2.71 Lakh,Aug-17,814 cc,Third Party,Manual,"67,328 Kms",Second Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Lucknow
375,2018 Maruti Ignis 1.2 Zeta BSIV,₹ 4.77 Lakh,Apr-18,1197 cc,Comprehensive,Manual,"81,741 Kms",First Owner,Petrol,81.80bhp,5,20.89 kmpl,Hatchback,Lucknow
376,2021 Maruti Swift VXI,₹ 5.86 Lakh,Jun-21,1197 cc,Zero Dep,Manual,"43,788 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Lucknow
377,2016 Hyundai Grand i10 Asta Option AT,₹ 4.02 Lakh,May-16,1197 cc,Comprehensive,Automatic,"51,520 Kms",Second Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Lucknow
378,2014 Maruti Swift VXI,₹ 3.58 Lakh,Feb-14,1197 cc,Comprehensive,Manual,"60,574 Kms",First Owner,Petrol,88.50bhp,5,22.38 kmpl,Hatchback,Lucknow
379,2016 Maruti Ciaz ZXi Plus,₹ 5.13 Lakh,May-16,1373 cc,Third Party insurance,Manual,"85,507 Kms",First Owner,Petrol,91.1bhp,5,20.73 kmpl,Sedan,Lucknow
380,2014 Hyundai Grand i10 Sportz,₹ 3.04 Lakh,2014,1197 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Petrol,82bhp,5,18.9 kmpl,Hatchback,Lucknow
381,2012 Mercedes-Benz C-Class C 250 CDI Elegance,₹ 7 Lakh,2012,2143 cc,Third Party insurance,Automatic,"1,10,000 Kms",Second Owner,Diesel,204bhp,5,14.94 kmpl,Sedan,Lucknow
382,2022 Mahindra Scorpio S5,₹ 15 Lakh,2022,2179 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Diesel,136.78bhp,7,,SUV,Lucknow
383,2020 Toyota Fortuner 2.8 2WD AT,₹ 32.50 Lakh,2020,2755 cc,Third Party insurance,Automatic,"60,000 Kms",First Owner,Diesel,174.5bhp,7,12.9 kmpl,SUV,Lucknow
384,2017 Ford Aspire Trend Diesel,₹ 5 Lakh,2017,1499 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Diesel,98.96bhp,5,24.4 kmpl,Sedan,Lucknow
385,2018 Renault KWID RXT Optional,₹ 3.50 Lakh,2018,799 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,53.3bhp,5,25.17 kmpl,Hatchback,Lucknow
386,2017 Honda City i VTEC SV,₹ 8 Lakh,2017,1497 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,117.3bhp,5,17.8 kmpl,Sedan,Lucknow
387,2019 Hyundai Creta 1.4 E Plus,₹ 9 Lakh,2019,1396 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,88.7bhp,5,22.1 kmpl,SUV,Lucknow
388,2021 Maruti Baleno Sigma,₹ 6.56 Lakh,Feb-21,1197 cc,Zero Dep,Manual,"34,348 Kms",First Owner,Petrol,81.80bhp,5,21.01 kmpl,Hatchback,Lucknow
389,2020 Hyundai i20 Sportz BSVI,₹ 6.82 Lakh,Mar-21,1197 cc,Third Party insurance,Manual,"34,139 Kms",First Owner,Petrol,81.80bhp,5,21 kmpl,Hatchback,Lucknow
390,2016 Maruti Baleno 1.2 Sigma,₹ 4.14 Lakh,Aug-16,1197 cc,Comprehensive,Manual,"91,960 Kms",First Owner,Petrol,83.1bhp,5,21.4 kmpl,Hatchback,Lucknow
391,2016 Honda City i VTEC SV,₹ 5.26 Lakh,Aug-16,1497 cc,Comprehensive,Manual,"27,567 Kms",Second Owner,Petrol,117.3bhp,5,17.8 kmpl,Sedan,Lucknow
392,2018 Hyundai EON Era Plus,₹ 3.07 Lakh,Jun-18,814 cc,Third Party,Manual,"14,669 Kms",First Owner,Petrol,55.2bhp,5,21.1 kmpl,Hatchback,Lucknow
393,2016 Ford Ecosport 1.5 TDCi Titanium BSIV,₹ 5.27 Lakh,Dec-16,1498 cc,Third Party,Manual,"60,047 Kms",Second Owner,Diesel,98.59bhp,5,22.77 kmpl,SUV,Lucknow
394,2021 Ford Ecosport 1.5 Diesel Titanium Plus,₹ 8.46 Lakh,Mar-21,1498 cc,Third Party,Manual,"63,152 Kms",First Owner,Diesel,98.96bhp,5,21.7 kmpl,SUV,Lucknow
395,2019 Maruti Baleno 1.3 Zeta,₹ 6.39 Lakh,Jan-20,1248 cc,Zero Dep,Manual,"1,00,250 Kms",First Owner,Diesel,74bhp,5,27.39 kmpl,Hatchback,Lucknow
396,2017 Honda WR-V i-DTEC VX,₹ 6.25 Lakh,Feb-18,1498 cc,Comprehensive,Manual,"92,708 Kms",Second Owner,Diesel,98.6bhp,5,25.5 kmpl,SUV,Lucknow
397,2016 Maruti Ciaz ZXi,₹ 5.87 Lakh,Aug-16,1373 cc,Third Party insurance,Manual,"47,075 Kms",First Owner,Petrol,91.1bhp,5,20.73 kmpl,Sedan,Lucknow
398,2015 Hyundai Elantra CRDi SX AT,₹ 5.15 Lakh,May-15,1582 cc,Third Party insurance,Automatic,"1,19,655 Kms",Second Owner,Diesel,126.2bhp,5,22.7 kmpl,Sedan,Lucknow
399,2017 Skoda Rapid 1.5 TDI AT Style BSIV,₹ 6 Lakh,2017,1498 cc,Third Party insurance,Automatic,"1,20,000 Kms",Second Owner,Diesel,108.6bhp,5,21.72 kmpl,Sedan,Lucknow
400,2019 Maruti S-Presso VXI 2019-2022,₹ 3.73 Lakh,2019,998 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,65.71bhp,5,21.7 kmpl,Hatchback,Lucknow
